,pitcher_id,FF,SL,FT,CH,CU,SI,FC,KC,FS,KN
511,592741,0.5169628432956381,0.09208400646203554,0.0,0.0,0.0,0.0,0.0,0.0,0.39095315024232635,0.0
512,656222,0.42727272727272725,0.0,0.0,0.1806818181818182,0.18636363636363637,0.0,0.2056818181818182,0.0,0.0,0.0
513,471911,0.3590047393364929,0.24001354096140826,0.11137440758293839,0.16215301286391334,0.12745429925524712,0.0,0.0,0.0,0.0,0.0
514,516969,0.4235574063057704,0.1421772754312909,0.2599643069601428,0.17430101130279596,0.0,0.0,0.0,0.0,0.0,0.0
515,623465,0.5981735159817352,0.1917808219178082,0.0410958904109589,0.1689497716894977,0.0,0.0,0.0,0.0,0.0,0.0
516,594795,0.8177339901477833,0.0,0.022167487684729065,0.0,0.16009852216748768,0.0,0.0,0.0,0.0,0.0
517,594798,0.4119585687382298,0.23085373509102322,0.12460765850596359,0.14281230382925297,0.08976773383553044,0.0,0.0,0.0,0.0,0.0
518,623470,0.5476190476190477,0.4126984126984127,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0
519,600944,0.45190839694656487,0.20763358778625954,0.0,0.16793893129770993,0.17251908396946564,0.0,0.0,0.0,0.0,0.0
520,592753,0.4375,0.0,0.0625,0.0,0.5,0.0,0.0,0.0,0.0,0.0
521,543606,0.5192926045016077,0.16130760986066453,0.0,0.0,0.0534119328331547,0.0,0.06645230439442658,0.0,0.19953554841014648,0.0
522,592761,0.56737998843262,0.2614227877385772,0.006362058993637941,0.16483516483516483,0.0,0.0,0.0,0.0,0.0,0.0
523,594815,0.6020942408376964,0.06282722513089005,0.0,0.33507853403141363,0.0,0.0,0.0,0.0,0.0,0.0
524,570240,0.2542204568023833,0.3247269116186693,0.3515392254220457,0.06951340615690169,0.0,0.0,0.0,0.0,0.0,0.0
525,592769,0.6074766355140186,0.06542056074766354,0.0,0.32710280373831774,0.0,0.0,0.0,0.0,0.0,0.0
526,500610,0.3886255924170616,0.17535545023696683,0.002369668246445498,0.38388625592417064,0.04976303317535545,0.0,0.0,0.0,0.0,0.0
527,519043,0.542274678111588,0.0,0.0,0.1497854077253219,0.0,0.0,0.12660944206008584,0.1813304721030043,0.0,0.0
528,656257,0.6107594936708861,0.0,0.0,0.08544303797468354,0.3037974683544304,0.0,0.0,0.0,0.0,0.0
529,592773,0.6211717709720372,0.2436750998668442,0.0,0.012649800266311585,0.0019973368841544607,0.0,0.0,0.0,0.12050599201065246,0.0
530,600965,0.6328358208955224,0.3164179104477612,0.0,0.0,0.050746268656716415,0.0,0.0,0.0,0.0,0.0
531,600968,0.4628930817610063,0.0,0.14088050314465408,0.04025157232704402,0.0012578616352201257,0.0,0.35471698113207545,0.0,0.0,0.0
532,519048,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0
533,594824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
534,592779,0.23977900552486187,0.11823204419889503,0.37900552486187844,0.26298342541436465,0.0,0.0,0.0,0.0,0.0,0.0
535,576397,0.0,0.0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.0,0.0
536,517008,0.3923076923076923,0.0,0.0,0.023557692307692307,0.0,0.0,0.5841346153846154,0.0,0.0,0.0
